,text,created_at,brand,sent,pos,neg,neu,compound
0,"@MariaTCardona  @TheRickWilson  @kathygriffin  @krassenstein  @EdKrassen 
@GOP @BBCWorld 
@donlemon @cnn
#MAGA… https://t.co/J4Piew0MA5",Sun Jul 01 22:03:41 +0000 2018,@CNN,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1,"RT @CNN: ""How dare you. How dare you take the babies from their mother's arms!"" Rep. Maxine Waters says President Trump has gone too far wi…",Sun Jul 01 22:03:41 +0000 2018,@CNN,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
2,"RT @CNN: ""How dare you. How dare you take the babies from their mother's arms!"" Rep. Maxine Waters says President Trump has gone too far wi…",Sun Jul 01 22:03:41 +0000 2018,@CNN,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
3,@CNN #FamiliesBelongTogetherMarch @Acosta @RealCandaceO @MSNBC https://t.co/P3grRiw4HB,Sun Jul 01 22:03:40 +0000 2018,@CNN,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
4,"@CNN BREAKING: CNN is pushing for the impeachment of the entire Spanish soccer team.

Mueller is investigating possible collusion.",Sun Jul 01 22:03:40 +0000 2018,@CNN,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
5,"RT @krassenstein: This needs to go viral. All the times Trump attacked the Press before this week's tragedy. 

I'm not saying Trump sparked…",Sun Jul 01 22:03:36 +0000 2018,@CNN,"{'neg': 0.261, 'neu': 0.739, 'pos': 0.0, 'compound': -0.8126}",0.0,0.261,0.739,-0.8126
6,"RT @ReliableSources: ""People are going to yell at us. They're going to tell us to go home. We're not going to go home."" -@Acosta just now o…",Sun Jul 01 22:03:34 +0000 2018,@CNN,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
7,"RT @CNN: A migrant who earned the nickname ""Spider-Man"" after scaling a building to save a child dangling from a balcony has started a new…",Sun Jul 01 22:03:33 +0000 2018,@CNN,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4939}",0.144,0.0,0.856,0.4939
8,"RT @CNN: A migrant who earned the nickname ""Spider-Man"" after scaling a building to save a child dangling from a balcony has started a new…",Sun Jul 01 22:03:32 +0000 2018,@CNN,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4939}",0.144,0.0,0.856,0.4939
9,24/7 HATE will make people tune-out. If that’s your intention @FoxNews @CNN @MSNBC @ABC @NBCNews @CBSNews it’s work… https://t.co/XYaDOmDxJ2,Sun Jul 01 22:03:32 +0000 2018,@CNN,"{'neg': 0.198, 'neu': 0.802, 'pos': 0.0, 'compound': -0.6633}",0.0,0.198,0.802,-0.6633
10,Libs don't know that. They get their NEWS from @CNN https://t.co/ZLwGJnoP4Q,Sun Jul 01 22:03:30 +0000 2018,@CNN,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
11,"@CNN ""keep your friends close, but your enemies closer""

- The Godfather Part II https://t.co/4JP9pVIwaZ",Sun Jul 01 22:03:29 +0000 2018,@CNN,"{'neg': 0.234, 'neu': 0.654, 'pos': 0.112, 'compound': -0.5023}",0.112,0.234,0.654,-0.5023
12,"RT @CNN: Former President Barack Obama tells Democrats: ""This is a moment of great urgency and you are right to be concerned."" https://t.co…",Sun Jul 01 22:03:29 +0000 2018,@CNN,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.6249}",0.163,0.0,0.837,0.6249
13,"RT @SagittarianMind: Therapists biased against black, poor patients, study finds @CNN https://t.co/HEFlxygZs5",Sun Jul 01 22:03:27 +0000 2018,@CNN,"{'neg': 0.342, 'neu': 0.658, 'pos': 0.0, 'compound': -0.6369}",0.0,0.342,0.658,-0.6369
14,@cnn @JimAcasta @maddow @msnbc @cbs @nbc #IllegalImmigrants #IllegalAliens #Impeach45 https://t.co/zcncQBRnWf,Sun Jul 01 22:03:27 +0000 2018,@CNN,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
